rainfall_mm,rainy_days,mushroom_species,growth_rate_g,harvest_time
59.93428306022466,8,King Oyster,149.57283989146026,2023-01-01
47.23471397657631,13,King Oyster,67.025640847746,2023-01-02
62.953770762013846,4,Oyster,169.19950995309,2023-01-03
80.46059712816052,0,King Oyster,282.9938813330433,2023-01-04
45.31693250553328,2,Shiitake,54.56006128596632,2023-01-05
45.31726086101639,9,King Oyster,54.562195596606536,2023-01-06
81.58425631014782,11,King Oyster,290.2976660159609,2023-01-07
65.34869458305818,7,Shiitake,184.76651478987816,2023-01-08
40.61051228130096,14,Oyster,23.968329828456227,2023-01-09
60.85120087171929,10,Shiitake,155.5328056661754,2023-01-10
40.73164614375075,5,King Oyster,24.75569993437989,2023-01-11
40.68540492859486,7,Oyster,24.45513203586661,2023-01-12
54.83924543132069,8,King Oyster,116.45509530358444,2023-01-13
11.73439510684404,3,Shiitake,-163.72643180551373,2023-01-14
15.501643349739346,0,Shiitake,-139.23931822669425,2023-01-15
38.75424941518055,13,King Oyster,11.902621198673565,2023-01-16
29.743377593311525,0,Chicken Leg,-46.66804564347509,2023-01-17
56.28494665190548,9,Chicken Leg,125.85215323738561,2023-01-18
31.83951848957578,3,Shiitake,-33.043129817757425,2023-01-19
21.75392597329417,11,Shiitake,-98.59948117358789,2023-01-20
79.31297537843108,13,Chicken Leg,275.534339959802,2023-01-21
45.48447399026929,6,Chicken Leg,55.64908093675036,2023-01-22
51.35056409375848,1,King Oyster,93.7786666094301,2023-01-23
21.505036275730863,2,King Oyster,-100.2172642077494,2023-01-24
39.11234550949635,0,Chicken Leg,14.230245811726263,2023-01-25
52.21845179419732,4,King Oyster,99.41993666228258,2023-01-26
26.980128451553945,0,King Oyster,-64.62916506489937,2023-01-27
57.51396036691344,7,Oyster,133.84074238493736,2023-01-28
37.9872262016239,0,King Oyster,6.916970310555342,2023-01-29
44.166125004134464,10,Shiitake,47.079812526874015,2023-01-30
37.96586775541206,0,King Oyster,6.778140410178402,2023-01-31
87.04556369017875,1,King Oyster,125.7961639861619,2023-02-01
49.730055505241324,1,Chicken Leg,83.2453607840686,2023-02-02
28.84578142088199,11,Shiitake,-52.50242076426704,2023-02-03
66.45089824206377,5,King Oyster,191.93083857341458,2023-02-04
25.583127000579555,6,King Oyster,-73.70967449623289,2023-02-05
54.17727190009511,4,Oyster,12.1522673506182,2023-02-06
10.806597522404488,0,King Oyster,-169.75711610437082,2023-02-07
23.43627902203139,0,King Oyster,-87.66418635679597,2023-02-08
53.93722471738247,2,Oyster,110.59196066298605,2023-02-09
64.76933159990821,13,Chicken Leg,181.00065539940334,2023-02-10
53.42736562379941,1,King Oyster,107.27787655469616,2023-02-11
47.68703435223519,4,Oyster,69.96572328952874,2023-02-12
43.97792608821423,11,Shiitake,25.85651957339246,2023-02-13
20.42956019265145,9,Chicken Leg,-107.20785874776557,2023-02-14
35.60311583210583,5,Shiitake,-8.579747091312115,2023-02-15
40.78722458080425,6,Shiitake,25.116959775227613,2023-02-16
71.1424445243783,3,Oyster,222.42588940845903,2023-02-17
56.872365791369226,6,King Oyster,129.6703776439,2023-02-18
14.73919689274532,10,Oyster,-144.19522019715544,2023-02-19
56.4816793878959,7,Oyster,127.13091602132336,2023-02-20
42.29835439167367,10,Oyster,34.93930354587884,2023-02-21
36.461559993880826,0,Oyster,-2.9998600397746316,2023-02-22
62.23352577681736,14,Chicken Leg,164.5179175493128,2023-02-23
70.61999044991902,5,King Oyster,119.02993792447361,2023-02-24
68.62560238232398,7,Shiitake,206.06641548510584,2023-02-25
33.21564953554723,4,Shiitake,-24.098278018943013,2023-02-26
43.81575248297571,3,King Oyster,44.802391139342106,2023-02-27
56.62526862807128,1,Shiitake,28.0642460824633,2023-02-28
69.51090254244718,5,King Oyster,211.8208665259067,2023-03-01
40.4165152430942,5,Shiitake,22.70734908011231,2023-03-02
46.28682046672365,10,Oyster,60.86433303370376,2023-03-03
27.87330051987944,14,Shiitake,-58.82354662078366,2023-03-04
26.075867518386584,0,King Oyster,-70.50686113048721,2023-03-05
66.25051644788397,8,King Oyster,190.62835691124576,2023-03-06
77.12480057141646,11,King Oyster,261.31120371420695,2023-03-07
48.55979756839332,10,King Oyster,75.6386841945566,2023-03-08
70.07065795784048,5,King Oyster,115.45927672596315,2023-03-09
57.23272050095268,12,Chicken Leg,132.01268325619245,2023-03-10
37.09760490789751,2,Chicken Leg,1.1344319013338406,2023-03-11
57.22791211016828,3,Shiitake,131.98142871609383,2023-03-12
80.76073132931938,11,King Oyster,84.944753640576,2023-03-13
49.283479217800966,10,Shiitake,80.34261491570629,2023-03-14
81.29287311628012,3,King Oyster,288.40367525582076,2023-03-15
-2.394902081794889,2,King Oyster,-255.56686353166677,2023-03-16
66.43805008750448,9,Chicken Leg,91.8473255687791,2023-03-17
51.74094136476342,2,Chicken Leg,96.31611887096226,2023-03-18
44.01985299068265,14,Oyster,46.129044439437244,2023-03-19
51.835215530710045,2,Chicken Leg,96.9289009496153,2023-03-20
10.248621707982146,3,Oyster,-173.38395889811608,2023-03-21
45.60656224324976,6,Oyster,56.44265458112345,2023-03-22
57.14225143023493,3,Oyster,131.42463429652705,2023-03-23
79.55788089483032,8,Oyster,277.1262258163971,2023-03-24
39.63459563452705,0,Oyster,17.624871624425843,2023-03-25
33.830127942136244,7,Shiitake,-20.1041683761144,2023-03-26
39.96485912830927,6,Chicken Leg,19.771584334010242,2023-03-27
68.30804235404148,1,Oyster,204.0022753012696,2023-03-28
56.57502219319369,7,King Oyster,127.73764425575898,2023-03-29
39.404795924659226,0,Chicken Leg,16.13117351028496,2023-03-30
60.26534866226712,10,Chicken Leg,151.7247663047363,2023-03-31
51.941550986960806,11,Oyster,97.62008141524525,2023-04-01
69.37289981065778,8,Shiitake,210.9238487692756,2023-04-02
35.95893812245295,8,Oyster,-6.2669022040558175,2023-04-03
43.44675706804463,1,Shiitake,42.40392094229013,2023-04-04
42.15783693735685,6,King Oyster,34.02594009281951,2023-04-05
20.72970103735763,14,Chicken Leg,-105.25694325717541,2023-04-06
55.922405541291525,13,King Oyster,-23.49563601839489,2023-04-07
55.221105443597786,9,Shiitake,58.93718538338561,2023-04-08
50.102269132849216,2,Shiitake,85.66474936351992,2023-04-09
45.30825733249706,6,King Oyster,54.503672661230894,2023-04-10
